buff_cd,sub_catg,brand_name,brand_code,poi_cnt
buff0001,Consumer Electronics Store,DELL,998700808,1
buff0001,Consumer Electronics Store,IFB POINTS,998700816,1
buff0001,Consumer Electronics Store,JIO,998700817,7
buff0001,Consumer Electronics Store,LG,998700820,1
buff0001,Consumer Electronics Store,OTHERS,0,373
buff0001,Consumer Electronics Store,RELIANCE,998700836,4
buff0001,Consumer Electronics Store,SAMSUNG,998700838,8
buff0001,Consumer Electronics Store,SONY,998700841,1
buff0001,Consumer Electronics Store,SPICE HOTSPOT,998700843,1
buff0001,Consumer Electronics Store,THE MOBILE STORE,998700844,1
buff0001,Consumer Electronics Store,VIVO,998700849,3
buff0001,Consumer Electronics Store,VODAFONE,998700850,4
buff0001,Convenience Store,D MART,953500551,1
buff0001,Convenience Store,OTHERS,0,12
buff0001,Convention/Exhibition Centre,OTHERS,0,1
buff0001,Cosmetics Store,LAKME SALON,200600009,1
buff0001,Cosmetics Store,OTHERS,0,1
buff0001,Cosmetics Store,SUGAR COSMETICS,200600015,1
buff0001,Court House,OTHERS,0,1
buff0001,Fast Food Restaurants,FAASOS,202500005,1
buff0001,Fast Food Restaurants,OTHERS,0,35
buff0001,Fine Dining Restaurants,OTHERS,0,2
buff0001,Furniture Store,DUROFLEX,200500031,2
buff0001,Furniture Store,OTHERS,0,9
buff0001,Furniture Store,SLEEPWELL,200500022,3
buff0001,Furniture Store,STELLAR,200500032,1
buff0001,Government Office,OTHERS,0,12
buff0001,Grocery Store,OTHERS,0,289
buff0001,Hamlet,OTHERS,0,16
buff0001,Higher Education,OTHERS,0,48
buff0001,Home Improvement & Hardware Store,OTHERS,0,280
buff0001,Home Specialty Store,NILKAMAL,956000700,1
buff0001,Home Specialty Store,OTHERS,0,258
buff0001,Home Specialty Store,PRESTIGE,956000702,1
buff0001,Hospital,FORTIS,806000532,4
buff0001,Hospital,OTHERS,0,82
buff0001,Hotel,OTHERS,0,34
buff0001,Hotel,OYO,701100449,1
buff0001,Industrial Zone,OTHERS,0,7
buff0001,Jewellery Store,CARATLANE,202401002,1
buff0001,Jewellery Store,TANISHQ,202400914,1
buff0001,Library,OTHERS,0,7
buff0001,Medical Service,MY DENTIST,958300743,3
buff0001,Medical Service,OTHERS,0,981
buff0001,Mobile Phone Store,MOTOROLA,200200012,1
buff0001,Mobile Phone Store,OTHERS,0,16
buff0001,Mobile Phone Store,SAMSUNG,200200002,1
buff0001,Mobile Phone Store,XIAOMI,200200001,1
buff0001,Motorcycle Dealership,BAJAJ,557100218,4
buff0001,Motorcycle Dealership,HERO MOTOCORP,557100223,3
buff0001,Motorcycle Dealership,HONDA,557100224,2
buff0001,Motorcycle Dealership,MAHINDRA,557100229,2
buff0001,Motorcycle Dealership,OTHERS,0,5
buff0001,Motorcycle Dealership,ROYAL ENFIELD,557100230,1
buff0001,Motorcycle Dealership,SUZUKI,557100231,3
buff0001,Motorcycle Dealership,TVS,557100232,2
buff0001,Motorcycle Dealership,YAMAHA,557100233,2
buff0001,Museum,OTHERS,0,1
buff0001,Named Intersection,OTHERS,0,92
buff0001,Named Place,OTHERS,0,73
buff0001,Nightlife,OTHERS,0,20
buff0001,Office Supply and Services Store,OTHERS,0,144
buff0001,Other Accommodation,OTHERS,0,111
buff0001,Parking Garage/House,OTHERS,0,2
buff0001,Parking Lot,OTHERS,0,3
buff0001,Park/Recreation Area,OTHERS,0,31
buff0001,Performing Arts,OTHERS,0,1
buff0001,Petrol/Gasoline Station,BHARAT PETROLEUM,554000201,1
buff0001,Petrol/Gasoline Station,HINDUSTAN PETROLEUM,554000206,1
buff0001,Petrol/Gasoline Station,OTHERS,0,3
buff0001,Pharmacy,APOLLO PHARMACY,956500709,2
buff0001,Pharmacy,MEDICINE SHOPPE,956500717,1
buff0001,Pharmacy,OTHERS,0,197
buff0001,Place of Worship,OTHERS,0,160
buff0001,Police Station,OTHERS,0,3
buff0001,Post Office,OTHERS,0,27
buff0001,Rental Car Agency,OTHERS,0,4
buff0001,Repair Services,OTHERS,0,138
buff0001,Residential Area/Building,OTHERS,0,2148
buff0001,Restaurant,DOMINOS PIZZA,580000249,2
buff0001,Restaurant,JUMBOKING,580000258,1
buff0001,Restaurant,MCDONALDS,580000262,3
buff0001,Restaurant,OTHERS,0,572
buff0001,School,OTHERS,0,138
buff0001,Shoe Store,BATA,202700005,7
buff0001,Shoe Store,METRO,202700013,1
buff0001,Shoe Store,OTHERS,0,5
buff0001,Shopping,OTHERS,0,29
buff0001,Specialty Store,OTHERS,0,1296
buff0001,Sporting Goods Store,OTHERS,0,12
buff0001,Sports Centre,OTHERS,0,42
buff0001,Sports Complex,OTHERS,0,6
buff0001,Sports Wear,OTHERS,0,2
buff0001,Sports Wear,REEBOK,200300012,1
buff0001,Tourist Information,OTHERS,0,1
buff0001,Training Centre/Institute,IIHT,959600759,1
buff0001,Training Centre/Institute,OTHERS,0,254
buff0001,Train Station,OTHERS,0,7
buff0001,Transportation Service,OTHERS,0,99
buff0001,Transportation Service,VRL TRAVELS,959300750,1
buff0002,Amusement park ,OTHERS,0,3
buff0002,ATM,ABHYUDAYA CO-OPERATIVE BANK,357800001,2
buff0002,ATM,ANDHRA BANK,357800004,2
buff0002,ATM,AXIS BANK,357800005,13
buff0002,ATM,BANDHAN BANK,357800006,1
buff0002,ATM,BANK OF BARODA,357800007,6
buff0002,ATM,BANK OF INDIA,357800008,10
buff0002,ATM,BANK OF MAHARASHTRA,357800009,3
buff0002,ATM,BHARAT CO OPERATIVE BANK,357800010,2
buff0002,ATM,CANARA BANK,357800011,7
buff0002,ATM,CATHOLIC SYRIAN BANK,357800012,1
buff0002,ATM,CENTRAL BANK OF INDIA,357800013,1
buff0002,ATM,CITIBANK,357800014,2
buff0002,ATM,CORPORATION BANK,357800016,2
buff0002,ATM,COSMOS BANK,357800017,1
buff0002,ATM,DENA BANK,357800020,4
buff0002,ATM,DHANLAXMI BANK,357800022,2
buff0002,ATM,FEDERAL BANK,357800023,1
buff0002,ATM,HDFC BANK,357800024,13
buff0002,ATM,HSBC,357800025,1
buff0002,ATM,ICICI BANK,357800026,16
buff0002,ATM,IDBI BANK,357800027,4
buff0002,ATM,IDFC FIRST BANK,357800028,1
buff0002,ATM,INDIAN BANK,357800029,2
buff0002,ATM,INDUSIND BANK,357800032,6
buff0002,ATM,KARNATAKA BANK,357800036,5
buff0002,ATM,KARUR VYSYA BANK,357800037,1
buff0002,ATM,KOTAK MAHINDRA,357800065,1
buff0002,ATM,KOTAK MAHINDRA BANK,357800038,9
buff0002,ATM,MAHANAGAR CO-OPERATIVE BANK,357800040,1
buff0002,ATM,NORTH KANARA GSB CO OPERATIVE BANK,357800041,2
buff0002,ATM,ORIENTAL BANK OF COMMERCE,357800042,1
buff0002,ATM,OTHERS,0,18
buff0002,ATM,PUNJAB NATIONAL BANK,357800045,2
buff0002,ATM,SARASWAT BANK,357800049,1
buff0002,ATM,SHAMRAO VITHAL CO-OPERATIVE BANK,357800050,1
buff0002,ATM,STATE BANK OF INDIA,357800053,15
buff0002,ATM,SYNDICATE BANK,357800054,1
buff0002,ATM,TAMILNAD MERCANTILE BANK,357800055,1
buff0002,ATM,THANE JANATA SAHAKARI BANK,357800056,3
buff0002,ATM,UCO BANK,357800058,2
buff0002,ATM,UNION BANK OF INDIA,357800059,3
buff0002,ATM,YES BANK,357800061,3
buff0002,Auto Dealership,FIAT,551100170,1
buff0002,Auto Dealership,FORD,551100172,1
buff0002,Auto Dealership,MARUTI SUZUKI,551100183,2
buff0002,Auto Dealership,OTHERS,0,16
buff0002,Auto Dealership,TATA,551100194,1
buff0002,Auto Dealership-Used Cars,OTHERS,0,17
buff0002,Auto service and maintenance,ASHOK LEYLAND,753800467,1
buff0002,Auto service and maintenance,FORD,753800476,1
buff0002,Auto service and maintenance,HONDA,753800480,1
buff0002,Auto service and maintenance,HYUNDAI,753800482,1
buff0002,Auto service and maintenance,OTHERS,0,112
buff0002,Auto service and maintenance,SUZUKI,753800507,3
buff0002,Bank,ABHYUDAYA CO OPERATIVE BANK,600000308,2
buff0002,Bank,ADARSH CREDIT CO OPERATIVE SOCIETY,600000310,1
buff0002,Bank,ALLAHABAD BANK,600000312,3
buff0002,Bank,ANDHRA BANK,600000313,5
buff0002,Bank,APNA SAHAKARI BANK,600000314,1
buff0002,Bank,AXIS BANK,600000316,8
buff0002,Bank,BANDHAN BANK,600000317,1
buff0002,Bank,BANK OF BARODA,600000319,7
buff0002,Bank,BANK OF INDIA,600000320,6
buff0002,Bank,BANK OF MAHARASHTRA,600000321,9
buff0002,Bank,CANARA BANK,600000327,6
buff0002,Bank,CATHOLIC SYRIAN BANK,600000328,1
buff0002,Bank,CENTRAL BANK OF INDIA,600000329,4
buff0002,Bank,CITIBANK,600000330,2
buff0002,Bank,CORPORATION BANK,600000334,2
buff0002,Bank,COSMOS BANK,600000335,2
buff0002,Bank,DENA BANK,600000338,4
buff0002,Bank,FEDERAL BANK,600000341,2
buff0002,Bank,HDFC BANK,600000342,12
buff0002,Bank,ICICI BANK,600000344,15
buff0002,Bank,IDBI BANK,600000345,3
buff0002,Bank,IDFC FIRST BANK,600000346,1
buff0002,Bank,INDIAN BANK,600000347,6
buff0002,Bank,INDUSIND BANK,600000349,4
buff0002,Bank,JANATA SAHAKARI BANK,600000353,2
buff0002,Bank,KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK,600000409,1
buff0002,Bank,KARNATAKA BANK,600000356,2
buff0002,Bank,KARUR VYSYA BANK,600000358,1
buff0002,Bank,KOTAK MAHINDRA BANK,600000361,7
buff0002,Bank,LAKSHMI VILAS BANK,600000363,1
buff0002,Bank,MAHANAGAR CO OPERATIVE BANK,600000365,2
buff0002,Bank,ORIENTAL BANK OF COMMERCE,600000369,1
buff0002,Bank,OTHERS,0,68
buff0002,Bank,PUNJAB NATIONAL BANK,600000375,2
buff0002,Bank,SARASWAT BANK,600000381,8
buff0002,Bank,SHAMRAO VITHAL CO-OPERATIVE BANK,600000383,1
buff0002,Bank,STATE BANK OF INDIA,600000390,14
buff0002,Bank,SYNDICATE BANK,600000391,2
buff0002,Bank,TAMILNAD MERCANTILE BANK,600000392,1
buff0002,Bank,THANE JANATA SAHAKARI BANK,600000394,4
buff0002,Bank,UCO BANK,600000401,2
buff0002,Bank,UNION BANK OF INDIA,600000402,2
buff0002,Bank,UNITED BANK OF INDIA,600000403,1
buff0002,Bank,YES BANK,600000405,4
buff0002,Bar or Pub,OTHERS,0,45
buff0002,Beauty and Salons,LAKME,200100002,1
buff0002,Beauty and Salons,OTHERS,0,116
buff0002,Book Store,CROSSWORD,999500868,1
buff0002,Book Store,JUSTBOOKS,999500871,1
buff0002,Book Store,OTHERS,0,31
buff0002,Business Facility,BAJAJ,500000066,1
buff0002,Business Facility,BIRLA SUN LIFE INSURANCE,500000072,1
buff0002,Business Facility,HDFC,500000094,1
buff0002,Business Facility,HDFC BANK,500000095,1
buff0002,Business Facility,HSBC,500000098,1
buff0002,Business Facility,LIC,500000116,3
buff0002,Business Facility,MANAPPURAM FINANCE,500000120,2
buff0002,Business Facility,MAX LIFE INSURANCE,500000122,2
buff0002,Business Facility,MUTHOOT FINANCE,500000125,1
buff0002,Business Facility,MUTHOOT FINCORP,500000126,3
buff0002,Business Facility,NATIONAL INSURANCE COMPANY,500000128,2
buff0002,Business Facility,NOKIA,500000130,1
buff0002,Business Facility,OTHERS,0,1034
buff0002,Business Facility,RELIANCE,500000137,1
buff0002,Business Facility,TATA,500000149,1
buff0002,Business Facility,WESTERN UNION,500000155,7
buff0002,Bus Station,OTHERS,0,19
buff0002,Cemetery,OTHERS,0,7
buff0002,Cinema,OTHERS,0,1
buff0002,Cinema,PVR CINEMAS,783200527,1
buff0002,City Hall,OTHERS,0,1
buff0002,Civic/Community Centre,OTHERS,0,45
buff0002,Clothing Store,ARROW,953700584,2
buff0002,Clothing Store,BLACKBERRYS,953700589,2
buff0002,Clothing Store,CAMBRIDGE,953700592,2
buff0002,Clothing Store,CANTABIL,953700593,1
buff0002,Clothing Store,FABINDIA,953700608,1
buff0002,Clothing Store,GINI AND JONY,953700616,1
buff0002,Clothing Store,GLOBUS,953700617,2
buff0002,Clothing Store,JOCKEY,953700624,3
buff0002,Clothing Store,LEE,953700630,1
buff0002,Clothing Store,LILLIPUT,953700636,1
buff0002,Clothing Store,OCTAVE,953700651,2
buff0002,Clothing Store,OTHERS,0,917
buff0002,Clothing Store,PETER ENGLAND,953700656,2
buff0002,Clothing Store,RAYMOND,953700659,3
buff0002,Clothing Store,RED TAPE,953700660,1
buff0002,Clothing Store,WILDCRAFT,953700676,1
buff0002,Clothing Store,ZODIAC,953700681,2
buff0002,Coffee Shop,CAFE COFFEE DAY,999600878,13
buff0002,Coffee Shop,COFFEE DAY,999600908,1
buff0002,Coffee Shop,MOCHA,999600890,1
buff0002,Coffee Shop,OTHERS,0,29
buff0002,Coffee Shop,STARBUCKS,999600894,1
buff0002,Commercial Poi,OFFICE SPACE,202300899,5
buff0002,Commercial Poi,SHOPS-SHOWROOMS,202300901,38
buff0002,Commuter Rail Station,OTHERS,0,1
buff0002,Consumer Electronics Store,AIRTEL,998700802,6
buff0002,Consumer Electronics Store,DELL,998700808,1
buff0002,Consumer Electronics Store,IFB POINTS,998700816,1
buff0002,Consumer Electronics Store,JIO,998700817,7
buff0002,Consumer Electronics Store,LG,998700820,1
buff0002,Consumer Electronics Store,OTHERS,0,373
buff0002,Consumer Electronics Store,RELIANCE,998700836,4
buff0002,Consumer Electronics Store,SAMSUNG,998700838,8
buff0002,Consumer Electronics Store,SONY,998700841,1
buff0002,Consumer Electronics Store,SPICE HOTSPOT,998700843,1
buff0002,Consumer Electronics Store,THE MOBILE STORE,998700844,1
buff0002,Consumer Electronics Store,VIVO,998700849,3
buff0002,Consumer Electronics Store,VODAFONE,998700850,4
buff0002,Convenience Store,D MART,953500551,1
buff0002,Convenience Store,OTHERS,0,12
buff0002,Convention/Exhibition Centre,OTHERS,0,1
buff0002,Cosmetics Store,LAKME SALON,200600009,1
buff0002,Cosmetics Store,OTHERS,0,1
buff0002,Cosmetics Store,SUGAR COSMETICS,200600015,1
buff0002,Court House,OTHERS,0,1
buff0002,Fast Food Restaurants,FAASOS,202500005,1
buff0002,Fast Food Restaurants,OTHERS,0,35
buff0002,Fine Dining Restaurants,OTHERS,0,2
buff0002,Furniture Store,DUROFLEX,200500031,2
buff0002,Furniture Store,OTHERS,0,9
buff0002,Furniture Store,SLEEPWELL,200500022,3
buff0002,Furniture Store,STELLAR,200500032,1
buff0002,Government Office,OTHERS,0,12
buff0002,Grocery Store,OTHERS,0,289
buff0002,Hamlet,OTHERS,0,16
buff0002,Higher Education,OTHERS,0,48
buff0002,Home Improvement & Hardware Store,OTHERS,0,280
buff0002,Home Specialty Store,NILKAMAL,956000700,1
buff0002,Home Specialty Store,OTHERS,0,258
buff0002,Home Specialty Store,PRESTIGE,956000702,1
buff0002,Hospital,FORTIS,806000532,4
buff0002,Hospital,OTHERS,0,82
buff0002,Hotel,OTHERS,0,34
buff0002,Hotel,OYO,701100449,1
buff0002,Industrial Zone,OTHERS,0,7
buff0002,Jewellery Store,CARATLANE,202401002,1
buff0002,Jewellery Store,TANISHQ,202400914,1
buff0002,Library,OTHERS,0,7
buff0002,Medical Service,MY DENTIST,958300743,3
buff0002,Medical Service,OTHERS,0,981
buff0002,Mobile Phone Store,MOTOROLA,200200012,1
buff0002,Mobile Phone Store,OTHERS,0,16
buff0002,Mobile Phone Store,SAMSUNG,200200002,1
buff0002,Mobile Phone Store,XIAOMI,200200001,1
buff0002,Motorcycle Dealership,BAJAJ,557100218,4
buff0002,Motorcycle Dealership,HERO MOTOCORP,557100223,3
buff0002,Motorcycle Dealership,HONDA,557100224,2
buff0002,Motorcycle Dealership,MAHINDRA,557100229,2
buff0002,Motorcycle Dealership,OTHERS,0,5
buff0002,Motorcycle Dealership,ROYAL ENFIELD,557100230,1
buff0002,Motorcycle Dealership,SUZUKI,557100231,3
buff0002,Motorcycle Dealership,TVS,557100232,2
buff0002,Motorcycle Dealership,YAMAHA,557100233,2
buff0002,Museum,OTHERS,0,1
buff0002,Named Intersection,OTHERS,0,92
buff0002,Named Place,OTHERS,0,73
buff0002,Nightlife,OTHERS,0,20
buff0002,Office Supply and Services Store,OTHERS,0,144
buff0002,Other Accommodation,OTHERS,0,111
buff0002,Parking Garage/House,OTHERS,0,2
buff0002,Parking Lot,OTHERS,0,3
buff0002,Park/Recreation Area,OTHERS,0,31
buff0002,Performing Arts,OTHERS,0,1
buff0002,Petrol/Gasoline Station,BHARAT PETROLEUM,554000201,1
buff0002,Petrol/Gasoline Station,HINDUSTAN PETROLEUM,554000206,1
buff0002,Petrol/Gasoline Station,OTHERS,0,3
buff0002,Pharmacy,APOLLO PHARMACY,956500709,2
buff0002,Pharmacy,MEDICINE SHOPPE,956500717,1
buff0002,Pharmacy,OTHERS,0,197
buff0002,Place of Worship,OTHERS,0,160
buff0002,Police Station,OTHERS,0,3
buff0002,Post Office,OTHERS,0,27
buff0002,Rental Car Agency,OTHERS,0,4
buff0002,Repair Services,OTHERS,0,138
buff0002,Residential Area/Building,OTHERS,0,2148
buff0002,Restaurant,DOMINOS PIZZA,580000249,2
buff0002,Restaurant,JUMBOKING,580000258,1
buff0002,Restaurant,MCDONALDS,580000262,3
buff0002,Restaurant,OTHERS,0,572
buff0002,School,OTHERS,0,138
buff0002,Shoe Store,BATA,202700005,7
buff0002,Shoe Store,METRO,202700013,1
buff0002,Shoe Store,OTHERS,0,5
buff0002,Shopping,OTHERS,0,29
buff0002,Specialty Store,OTHERS,0,1296
buff0002,Sporting Goods Store,OTHERS,0,12
buff0002,Sports Centre,OTHERS,0,42
buff0002,Sports Complex,OTHERS,0,6
buff0002,Sports Wear,OTHERS,0,2
buff0002,Sports Wear,REEBOK,200300012,1
buff0002,Tourist Information,OTHERS,0,1
buff0002,Training Centre/Institute,IIHT,959600759,1
buff0002,Training Centre/Institute,OTHERS,0,254
buff0002,Train Station,OTHERS,0,7
buff0002,Transportation Service,OTHERS,0,99
buff0002,Transportation Service,VRL TRAVELS,959300750,1
buff0003,Animal Park,OTHERS,0,1
buff0003,ATM,ABHYUDAYA CO-OPERATIVE BANK,357800001,2
buff0003,ATM,ALLAHABAD BANK,357800003,1
buff0003,ATM,ANDHRA BANK,357800004,1
buff0003,ATM,AXIS BANK,357800005,15
buff0003,ATM,BANK OF BARODA,357800007,15
buff0003,ATM,BANK OF INDIA,357800008,6
buff0003,ATM,BANK OF MAHARASHTRA,357800009,3
buff0003,ATM,CANARA BANK,357800011,4
buff0003,ATM,CITIBANK,357800014,2
buff0003,ATM,CORPORATION BANK,357800016,3
buff0003,ATM,COSMOS BANK,357800017,3
buff0003,ATM,DENA BANK,357800020,1
buff0003,ATM,DHANLAXMI BANK,357800022,1
buff0003,ATM,FEDERAL BANK,357800023,2
buff0003,ATM,HDFC BANK,357800024,11
buff0003,ATM,HSBC,357800025,1
buff0003,ATM,ICICI BANK,357800026,9
buff0003,ATM,IDBI BANK,357800027,3
buff0003,ATM,IDFC FIRST BANK,357800028,1
buff0003,ATM,INDIAN BANK,357800029,2
buff0003,ATM,INDIAN OVERSEAS BANK,357800030,1
buff0003,ATM,INDUSIND BANK,357800032,4
buff0003,ATM,JANATA SAHAKARI BANK,357800035,1
buff0003,ATM,KOTAK MAHINDRA BANK,357800038,12
buff0003,ATM,LAKSHMI VILAS BANK,357800039,2
